days_since_start,clients
0,34
1,34
2,32
3,31
4,29
5,29
6,31
7,34
8,33
9,34
10,36
11,35
12,33
13,33
14,34
15,37
16,36
17,38
18,37
19,40
20,41
21,40
22,40
23,42
24,44
25,45
26,47
27,45
28,46
29,48
30,51
31,52
32,51
33,53
34,52
35,55
36,55
37,57
38,57
39,59
40,57
41,58
42,56
43,57
44,55
45,57
46,58
47,56
48,56
49,58
50,57
51,59
52,57
53,57
54,56
55,57
56,57
57,60
58,61
59,60
60,59
61,62
62,60
63,58
64,59
65,59
66,62
67,63
68,66
69,69
70,68
71,67
72,68
73,69
74,69
75,68
76,68
77,67
78,67
79,66
80,66
81,69
82,69
83,72
84,75
85,78
86,80
87,78
88,78
89,81
90,81
91,83
92,81
93,82
94,83
95,86
96,85
97,83
98,82
99,85
